,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1328271230061849,0.08739323644661469,0.004899422327677409,0.0002710994563625839,identity,5e-05,"(1,)",lbfgs,"{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",0.36633192770904244,0.5872742996959255,0.6099713476584432,0.521192525021137,0.10989432028528513,10
1,0.7346880435943604,0.03532296405956223,0.06659944852193196,0.0859697765015767,identity,5e-05,"(1,)",sgd,"{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",,,,,,45
2,0.7604343096415201,0.026792467463830186,0.005791584650675456,0.0014626574728745898,identity,5e-05,"(1,)",adam,"{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-1.7061331443888097,-29.46797200904022,-35.899752761138735,-22.357952638189257,14.837232159091158,42
3,0.13791275024414062,0.044779689608595824,0.004285653432210286,0.0027167899669676547,identity,5e-05,"(50,)",lbfgs,"{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.6209701731037705,0.5873571239555387,0.6099836314058731,0.6061036428217275,0.013994046396478412,8
4,0.8945078055063883,0.06626249536419795,0.06614748636881511,0.08353176522015755,identity,5e-05,"(50,)",sgd,"{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",,,,,,46
5,0.8149450620015463,0.2858049847730409,0.0037120183308919272,0.0012746113870392459,identity,5e-05,"(50,)",adam,"{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",0.626160947260956,0.5817338838124684,0.6241525842895681,0.6106824717876641,0.020486156948444433,5
6,0.23249014218648276,0.06285712414474137,0.0061388810475667315,0.0021104789309300356,identity,0.0005,"(1,)",lbfgs,"{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",0.6209721458584835,0.5873810051406704,0.6204915930556043,0.6096149146849194,0.015722972216165625,6
7,0.5510016282399496,0.007440283888727674,0.01105936368306478,0.007354020033619331,identity,0.0005,"(1,)",sgd,"{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",,,,,,47
8,0.644261916478475,0.057881997219363504,0.005108277002970378,0.0008418866307739994,identity,0.0005,"(1,)",adam,"{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-2.3378095247894395,-2.1381407656131333,-5.642473097278501,-3.372807795893691,1.6069644963056693,35
9,0.1373323599497477,0.005073974606523618,0.004764159520467122,0.002692070636266095,identity,0.0005,"(50,)",lbfgs,"{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.6209683853161685,0.587393063491483,0.6099816324801719,0.6061143604292745,0.013977181493289687,7
10,0.7918670177459717,0.019729484532962808,0.007008155186971028,0.0023553795524897344,identity,0.0005,"(50,)",sgd,"{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",,,,,,48
11,0.9049761295318604,0.05256160702399506,0.0050885677337646484,0.002280490455260195,identity,0.0005,"(50,)",adam,"{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",0.6094793822888112,0.5828190000724575,0.6168543046716511,0.6030508956776398,0.014619497708482315,9
12,0.12173597017923991,0.1577228356736041,0.00409698486328125,0.0016673704421345341,logistic,5e-05,"(1,)",lbfgs,"{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-0.001591724525495275,-4.946282750051267e-07,0.6218314915037173,0.206746424116649,0.293510184807889,12
13,0.5433221658070883,0.1845067672645968,0.005925496419270833,0.0015720885570012044,logistic,5e-05,"(1,)",sgd,"{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-0.001855293670907976,-1.2957599218932359e-05,-0.0019361863510301003,-0.0012681458737190028,0.0008881663169159942,25
14,0.685773770014445,0.07440750891458522,0.003597736358642578,0.001493187993232823,logistic,5e-05,"(1,)",adam,"{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-4.075771494928225,-4.355975755152587,-4.802329197894764,-4.411358815991858,0.2991900026248072,40
15,0.43067391713460285,0.5758733150406382,0.007986227671305338,0.0014165095730026194,logistic,5e-05,"(50,)",lbfgs,"{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",-0.0015916970730491808,0.4637466891152101,-0.001884439885305511,0.15342351738561846,0.21943165163489026,14
16,0.188568115234375,0.0936604364356217,0.0059312184651692705,0.001043951921567283,logistic,5e-05,"(50,)",sgd,"{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",-0.0015463138063842585,-0.0040769245366854,-0.002104189169205073,-0.002575809170758244,0.0010856078900712968,28
17,1.2208163738250732,0.0498626291843343,0.004411141077677409,0.0027058734873003534,logistic,5e-05,"(50,)",adam,"{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",-0.7443818467111369,-0.9052888932311809,-0.6576411243635725,-0.7691039547686301,0.10260195360836907,32
18,0.023145039876302082,0.013486947434064096,0.0047643184661865234,0.004193897830375376,logistic,0.0005,"(1,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-0.0015917578601800653,-4.945592004812482e-07,-0.0018844403372086926,-0.0011588975855297463,0.0008277837626846371,23
19,0.5620949268341064,0.12798218975441683,0.006300052007039388,0.0008589004374569438,logistic,0.0005,"(1,)",sgd,"{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-0.0017916614291193511,-8.246413991663815e-07,-0.0017572273497505897,-0.0011832378067563691,0.0008362105383466627,24
20,0.6917047500610352,0.01028764073959043,0.003294785817464193,0.0027574316155385735,logistic,0.0005,"(1,)",adam,"{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-3.9904770209543807,-4.216158083459243,-4.5616968305042835,-4.256110644972636,0.23490448141626682,38
21,1.1443568865458171,0.15294581251598477,0.004441738128662109,0.000961345654031767,logistic,0.0005,"(50,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.4306139786910038,0.25780437459390493,0.46681449194000135,0.38507761507497,0.09120116079957895,11
22,0.18642711639404297,0.027661561570362474,0.008327484130859375,0.0006085325244764813,logistic,0.0005,"(50,)",sgd,"{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",-0.001627535725262641,-7.867251247550833e-05,-0.00228712300144851,-0.0013311104130622198,0.0009256400901884456,26
23,1.0964041550954182,0.011523814558739536,0.002067089080810547,4.248402329898118e-05,logistic,0.0005,"(50,)",adam,"{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",-0.6930935326384158,-0.7399130888201575,-0.5487770080693655,-0.6605945431759795,0.08134448794377722,31
24,0.010218063990275065,0.0037236299137577518,0.0042616526285807295,0.0019016096115045465,tanh,5e-05,"(1,)",lbfgs,"{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-0.0015917247674830381,-4.946238523206858e-07,-0.0018844358728271615,-0.0011588850880541735,0.0008277766600814025,21
25,0.3202693462371826,0.018769425691006942,0.005921284357706706,0.0016734806456773152,tanh,5e-05,"(1,)",sgd,"{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-0.0018033144953846225,-1.4626805477924165e-06,-0.0015827103003807075,-0.0011291624921043741,0.0008024739669513247,18
26,0.8412313461303711,0.11492864313440594,0.018491586049397785,0.01723289199950874,tanh,5e-05,"(1,)",adam,"{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-4.060961523174441,-4.439505653457347,-4.422056196337243,-4.3075077909896775,0.17448002276987296,39
27,0.08555952707926433,0.032008023200741205,0.013756593068440756,0.010109807767987856,tanh,5e-05,"(50,)",lbfgs,"{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",-0.0010661921450292322,0.02476697803951977,0.2061264364503108,0.07660907411493378,0.09218784637966465,16
28,0.2921021779378255,0.0926719886057546,0.020116726557413738,0.014026378570923047,tanh,5e-05,"(50,)",sgd,"{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",-0.002202187730791616,-4.392087182836235e-08,0.0023013195965664313,3.3029314967662295e-05,0.001838697898167537,17
29,1.5517295996348064,0.0604815183881318,0.01220552126566569,0.009788419181424686,tanh,5e-05,"(50,)",adam,"{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",-0.42665735316774733,-0.3181010446509034,-0.42950607196399604,-0.39142148992754894,0.05185842632507087,30
30,0.013076464335123697,0.002752550514133883,0.005605459213256836,0.0018908826247970541,tanh,0.0005,"(1,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-0.0015917563845229132,-4.95279050660713e-07,-0.001884393445542587,-0.0011588817030387204,0.0008277694698527449,20
31,0.49959834416707355,0.05371312546565209,0.0050963560740153,0.0008668071180694428,tanh,0.0005,"(1,)",sgd,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-0.0016766559892464894,-1.0455778567397545e-06,-0.001792582553646227,-0.0011567613735831521,0.0008185837332254746,19
