score,parameters
-0.009388171161861015,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}"
-0.011012744041390788,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.009613544625864213,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
-0.006361031247155413,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
-0.008123043363789018,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
-0.014320432683243012,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
-0.009492852246576367,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
-0.011223287942111537,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.010022650724113569,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}"
-0.0068351337371251875,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
-0.007937867945789412,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
-0.013991611435593332,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.09758179866553289,"{'C': 1, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}"
0.07830137007885982,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}"
0.08552862315976062,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
0.04648041424732567,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
0.03343026209465085,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
-0.002469048961903697,"{'C': 1, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.09787314540941923,"{'C': 1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
0.0782004342402092,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
0.08570162104809072,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}"
0.04603834500898829,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
0.0334960665540023,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
-0.002531454336733252,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.14575067171548495,"{'C': 10, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}"
0.0912834615985965,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}"
0.11278584669523557,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
0.042943660522792346,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
0.04265968244524907,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
-0.012787322989981309,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.14506938734397676,"{'C': 10, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
